[16:28:10 - Thread-0] [MspMote.java:235] [INFO] - Loading firmware from: /home/dipon/usdn2/EA-SDN-NFV/examples/sdn/node/sdn-udp-client.exp5438
[16:28:10 - Thread-0] [MspMote.java:235] [INFO] - Loading firmware from: /home/dipon/usdn2/EA-SDN-NFV/examples/sdn/node/sdn-udp-client.exp5438
[16:28:11 - Thread-0] [MspMote.java:235] [INFO] - Loading firmware from: /home/dipon/usdn2/EA-SDN-NFV/examples/sdn/node/sdn-udp-client.exp5438
[16:28:11 - Thread-0] [MspMote.java:235] [INFO] - Loading firmware from: /home/dipon/usdn2/EA-SDN-NFV/examples/sdn/node/sdn-udp-client.exp5438
[16:28:11 - Thread-0] [MspMote.java:235] [INFO] - Loading firmware from: /home/dipon/usdn2/EA-SDN-NFV/examples/sdn/node/sdn-udp-client.exp5438
[16:28:11 - Thread-0] [MspMote.java:235] [INFO] - Loading firmware from: /home/dipon/usdn2/EA-SDN-NFV/examples/sdn/node/sdn-udp-client.exp5438
[16:28:11 - Thread-0] [MspMote.java:235] [INFO] - Loading firmware from: /home/dipon/usdn2/EA-SDN-NFV/examples/sdn/node/sdn-udp-client.exp5438
[16:28:11 - Thread-0] [Visualizer.java:256] [INFO] - Registered external visualizer: org.contikios.cooja.plugins.skins.DGRMVisualizerSkin
[16:28:11 - Thread-0] [TimeLine.java:567] [INFO] - Zoom level: 500.0 microseconds/pixel 
[16:28:14 - Thread-1] [Simulation.java:253] [INFO] - Simulation main loop started, system time: 1596742094839
